"$financialflow.firstCTA","$financialflow.ctaYesNo","$financialflow.ctaTalkHoursOnlineNone","$financialflow.responseLastQuestion"
"Apply for a loan","Yes","Talk with a customer service rep","Here's the phone number {FI phone number } to contact a representative"
"Apply for a loan","Yes","Hours and locations","Here's the link {FI website page link} to our hours and locations page"
"Apply for a loan","Yes","Online banking","Here's the link  {FI website page link} to our online banking page"
"Apply for a loan","Yes","None of the above","Here's the phone number {FI phone number } to contact a representative"
"Apply for new account","Yes","Talk with a customer service rep","Here's the phone number {FI phone number } to contact a representative"
"Apply for new account","Yes","Hours and locations","Here's the link {FI website page link} to our hours and locations page"
"Apply for new account","Yes","Online banking","Here's the link  {FI website page link} to our online banking page"
"Apply for new account","Yes","None of the above","Here's the phone number {FI phone number } to contact a representative"
"Discuss current account","Yes","Talk with a customer service rep","Here's the phone number {FI phone number } to contact a representative"
"Discuss current account","Yes","Hours and locations","Here's the link {FI website page link} to our hours and locations page"
"Discuss current account","Yes","Online banking","Here's the link  {FI website page link} to our online banking page"
"Discuss current account","Yes","None of the above","Here's the phone number {FI phone number } to contact a representative"
